10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored UpdateTime: ID=File deliver, timestamp=2025-12-09 10:47:18.207606
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted ['Beautiful student:first/01', 'Beautiful student:first/02'] checks from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\first homework
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Beautiful student:first/01, TASK_ID=first, USER_ID=Beautiful student, category=CheckCategoryEnum.
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Beautiful student:first/02, TASK_ID=first, USER_ID=Beautiful student, category=CheckCategoryEnum.
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted ['Beautiful student:second/01', 'Beautiful student:second/02'] checks from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\second homework
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Beautiful student:second/01, TASK_ID=second, USER_ID=Beautiful student, category=CheckCategoryEnu
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=Beautiful student:second/02, TASK_ID=second, USER_ID=Beautiful student, category=CheckCategoryEnu
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted ['The teacher:first/01', 'The teacher:first/02', 'The teacher:first/attendance', 'The teacher:first/deadline', 'The teacher:first/no_import', 'The teacher:first/solution_size'] checks from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\first homework
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/01, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.runtime, tim
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/02, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.runtime, tim
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/attendance, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.vali
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/deadline, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.valida
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/no_import, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.valid
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:first/solution_size, TASK_ID=first, USER_ID=The teacher, category=CheckCategoryEnum.v
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted ['The teacher:second/01', 'The teacher:second/02'] checks from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\second homework
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:second/01, TASK_ID=second, USER_ID=The teacher, category=CheckCategoryEnum.runtime, t
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Check: ID=The teacher:second/02, TASK_ID=second, USER_ID=The teacher, category=CheckCategoryEnum.runtime, t
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted ['The teacher:second/01', 'The teacher:second/02'] checks from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted The teacher:second solution from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\second homework
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=The teacher:second, TASK_ID=second, USER_ID=The teacher, timestamp=2025-09-23 13:22:14.658602
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted ['The teacher:first/01', 'The teacher:first/02', 'The teacher:first/attendance', 'The teacher:first/deadline', 'The teacher:first/no_import', 'The teacher:first/solution_size'] checks from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted The teacher:first solution from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\first homework
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=The teacher:first, TASK_ID=first, USER_ID=The teacher, timestamp=2025-09-23 13:22:14.654145
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted ['Beautiful student:second/01', 'Beautiful student:second/02'] checks from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted Beautiful student:second solution from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\second homework
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, timestamp=2025-09-23 13:22:1
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted ['Beautiful student:first/01', 'Beautiful student:first/02'] checks from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted Beautiful student:first solution from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\first homework
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, timestamp=2025-09-23 13:22:14.
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted ['Smart student:second/01', 'Smart student:second/02'] checks from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted Smart student:second solution from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\second homework
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Smart student:second, TASK_ID=second, USER_ID=Smart student, timestamp=2025-09-23 13:22:14.549799
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted ['Smart student:first/01', 'Smart student:first/02'] checks from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted Smart student:first solution from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\first homework
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Smart student:first, TASK_ID=first, USER_ID=Smart student, timestamp=2025-09-23 13:22:14.545780
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted ['Smart student:first/01', 'Smart student:first/02'] checks from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted Smart student:first solution from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\first homework
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Smart student:first, TASK_ID=first, USER_ID=Smart student, timestamp=2025-09-23 13:22:14.545780
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted ['Smart student:second/01', 'Smart student:second/02'] checks from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted Smart student:second solution from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\student\second homework
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Smart student:second, TASK_ID=second, USER_ID=Smart student, timestamp=2025-09-23 13:22:14.549799
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted ['Beautiful student:first/01', 'Beautiful student:first/02'] checks from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted Beautiful student:first solution from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\first homework
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, timestamp=2025-09-23 13:22:14.
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted ['Beautiful student:second/01', 'Beautiful student:second/02'] checks from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted Beautiful student:second solution from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\studentka\second homework
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, timestamp=2025-09-23 13:22:1
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted ['The teacher:first/01', 'The teacher:first/02', 'The teacher:first/attendance', 'The teacher:first/deadline', 'The teacher:first/no_import', 'The teacher:first/solution_size'] checks from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\first homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted The teacher:first solution from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\first homework
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=The teacher:first, TASK_ID=first, USER_ID=The teacher, timestamp=2025-09-23 13:22:14.654145
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started solution parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Started check parsing for f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted ['The teacher:second/01', 'The teacher:second/02'] checks from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\second homework
10:47:18 09.12.2025 [                     make]: |  DEBUG|: Extracted The teacher:second solution from f.C:\Users\tutor\MSU\Main\20251202\1\sample\repo\teacher\second homework
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored Solution: ID=The teacher:second, TASK_ID=second, USER_ID=The teacher, timestamp=2025-09-23 13:22:14.658602
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored UpdateTime: ID=Check run, timestamp=2025-12-09 10:47:18.577534
10:47:18 09.12.2025 [                     make]: |   INFO|: Run new checks on all solutions...
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Solution
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:18 09.12.2025 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Beautiful student_first.py run
10:47:18 09.12.2025 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Beautiful student_first.py / C:\tmp\hworker_check\Beautiful student_first.in
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:first/01@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, cat
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:18 09.12.2025 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Beautiful student_first.py run
10:47:18 09.12.2025 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Beautiful student_first.py / C:\tmp\hworker_check\Beautiful student_first.in
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:first/02@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, cat
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, cat
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Solution
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/attendance@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, c
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/no_import@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student, ca
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/solution_size@Beautiful student:first, TASK_ID=first, USER_ID=Beautiful student
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:18 09.12.2025 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Beautiful student_second.py run
10:47:18 09.12.2025 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Beautiful student_second.py / C:\tmp\hworker_check\Beautiful student_second.in
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:second/01@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, 
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:18 09.12.2025 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Beautiful student_second.py run
10:47:18 09.12.2025 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Beautiful student_second.py / C:\tmp\hworker_check\Beautiful student_second.in
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Beautiful student:second/02@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, 
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, c
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Solution
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/attendance@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student,
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/no_import@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful student, 
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/solution_size@Beautiful student:second, TASK_ID=second, USER_ID=Beautiful stude
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:18 09.12.2025 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Smart student_first.py run
10:47:18 09.12.2025 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Smart student_first.py / C:\tmp\hworker_check\Smart student_first.in
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Smart student:first/01@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=CheckC
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:18 09.12.2025 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Smart student_first.py run
10:47:18 09.12.2025 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Smart student_first.py / C:\tmp\hworker_check\Smart student_first.in
10:47:18 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Smart student:first/02@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=CheckC
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=Ch
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Solution
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/attendance@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/no_import@Smart student:first, TASK_ID=first, USER_ID=Smart student, category=C
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/solution_size@Smart student:first, TASK_ID=first, USER_ID=Smart student, catego
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:19 09.12.2025 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Smart student_second.py run
10:47:19 09.12.2025 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Smart student_second.py / C:\tmp\hworker_check\Smart student_second.in
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Smart student:second/01@Smart student:second, TASK_ID=second, USER_ID=Smart student, category=Che
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:19 09.12.2025 [            check.runtime]: |  DEBUG|: C:\tmp\hworker_check\Smart student_second.py run
10:47:19 09.12.2025 [            check.runtime]: |  DEBUG|: Check passed: C:\tmp\hworker_check\Smart student_second.py / C:\tmp\hworker_check\Smart student_second.in
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=Smart student:second/02@Smart student:second, TASK_ID=second, USER_ID=Smart student, category=Che
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for Check
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Searched for CheckResult
10:47:19 09.12.2025 [ depot.database.functions]: |  DEBUG|: Stored CheckResult: ID=The teacher:first/deadline@Smart student:second, TASK_ID=second, USER_ID=Smart student, category=
